maximalArea,minimalArea,minimalWidthContactRoad,blockShape,streetLane,laneWidth,streetWidth,noise
565.8629265452528,86.10535674760891,15.805850466260743,4,3,3.8236954996670116,19.72043001122649,0.5034610157836522
821.495123657006,228.40883510978847,6.568842961853114,2,6,3.9472405185457897,25.558809011569775,0.17041507432071334
973.0480535612985,206.59177182472155,7.930481472081432,6,0,4.714960609953508,23.94370462974988,0.2572637623340323
565.8621924120334,85.9907707885798,15.568927038595177,3,1,3.8075793474297073,19.72186126393762,0.5054933361304399
580.6861018428937,193.76358601884723,5.0,4,1,6.871575579565641,30.0,0.11237002781551401
159.7316471672671,274.11070508599164,15.571072447694265,5,0,11.272630466835757,15.716933551450968,0.10658680320960653
631.8715792792416,106.47731787076756,15.536066477345935,3,1,4.106588604119443,19.806935919930364,0.39738122950650034
600.1090726386519,221.99308335631503,8.27766289617993,2,0,9.306445063794929,28.193355753106214,0.18792802945392134
407.0129576179065,69.05255343707888,15.270338018244235,0,1,5.355460899439269,15.437237559060113,0.3197590752621905
575.9297652744208,207.7881309605712,6.33654266810888,2,3,3.0,23.652091784556653,0.18919282289854428
704.7390705208328,188.64808200766464,5.8553565545075585,1,0,9.833640706859631,21.835820188251795,0.34332438429989376
