CODE,Urban fabric type,DEPCOM,LIBELLE,InitialArea,ParcelsArea,RatioArea,RatioParcelConnectionRoad
2-25267-null,mediumCollective,25267,null,22625.012298703572,15347.04233500739,0.32167805557892293,1.0
0-25267-null,mediumCollective,25267,null,34323.60177311309,19656.668971177958,0.42731333672051486,1.0
1-25267-null,mediumCollective,25267,null,20408.502226257537,12678.770389488205,0.3787505693006846,1.0
CODE,Urban fabric type,DEPCOM,LIBELLE,InitialArea,ParcelsArea,RatioArea,RatioParcelConnectionRoad
1-25267-newSection1ConsolidationDivision,mediumHouse,25267,newSection1ConsolidationDivision,135506.27735016373,50482.657085038176,0.6274515242228579,1.0
2-25267-newSection2ConsolidationDivision,mediumHouse,25267,newSection2ConsolidationDivision,37317.01385001251,22494.524564091047,0.39720459266910213,1.0
3-25267-newSection6ConsolidationDivision,mediumHouse,25267,newSection6ConsolidationDivision,29186.58529993268,19465.41825301257,0.3330696944168571,1.0
0-25267-newSection0ConsolidationDivision,mediumHouse,25267,newSection0ConsolidationDivision,73819.24325010442,39167.27202583888,0.46941650575937766,1.0
4-25267-newSection3ConsolidationDivision,mediumHouse,25267,newSection3ConsolidationDivision,37987.13180000229,22707.25093161822,0.4022383408368607,1.0
5-25267-newSection5ConsolidationDivision,mediumHouse,25267,newSection5ConsolidationDivision,47077.120099989355,26716.712472273197,0.43249050886017903,1.0
